Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,33.750000,34.038460,33.461540,34.009617,21.217541,34550000
2006-01-04,33.990383,34.038460,33.750000,33.961540,21.187546,24977700
2006-01-05,33.913460,33.990383,33.750000,33.875000,21.133554,19612000
2006-01-06,34.019230,34.163460,33.836540,34.105770,21.277521,22967300
2006-01-09,34.038460,34.067307,33.884617,34.019230,21.223537,21544600
2006-01-10,33.913460,33.951923,33.701923,33.836540,21.109566,21883200
2006-01-11,33.788460,34.182693,33.750000,34.067307,21.253529,23290100
2006-01-12,34.086540,34.096153,33.596153,33.653847,20.995584,23045300
2006-01-13,33.557693,33.894230,33.461540,33.750000,21.055571,17905200
2006-01-17,34.259617,34.259617,33.480770,33.596153,20.959587,16711500
2006-01-18,33.557693,33.567307,33.278847,33.480770,20.887606,20960400
2006-01-19,33.557693,33.557693,33.173077,33.346153,20.803621,30484600
2006-01-20,32.980770,33.173077,31.942308,32.086540,20.017792,91600400
2006-01-23,32.240383,32.375000,31.980770,32.009617,19.969799,40365500
2006-01-24,32.259617,32.259617,31.644230,31.692308,19.771841,48338300
2006-01-25,31.875000,31.923077,31.394230,31.500000,19.651871,53441100
2006-01-26,31.663462,31.798077,31.480770,31.750000,19.807833,50806100
2006-01-27,31.682692,31.750000,31.490385,31.682692,19.765841,45050800
2006-01-30,31.634615,31.817308,31.480770,31.663462,19.753845,36799700
2006-01-31,31.634615,31.711538,31.375000,31.490385,19.645868,41282000
2006-02-01,31.403847,31.913462,31.384615,31.865385,19.879810,39586800
2006-02-02,31.798077,32.009617,31.615385,31.634615,19.735842,31685900
2006-02-03,31.538462,31.865385,31.509615,31.586538,19.705856,26860700
2006-02-06,31.586538,31.625000,31.394230,31.490385,19.645868,24088300
2006-02-07,31.403847,31.471153,30.971153,31.067308,19.381918,38262300
2006-02-08,31.067308,31.528847,30.990385,31.480770,19.639872,27826200
2006-02-09,31.519230,31.769230,31.500000,31.653847,19.747845,27376200
2006-02-10,31.653847,32.086540,31.605770,32.000000,19.963795,27622100
2006-02-13,31.923077,32.173077,31.807692,31.971153,19.945807,20808200
2006-02-14,31.903847,32.250000,31.769230,32.173077,20.071774,30435400
2006-02-15,32.250000,32.250000,31.980770,32.173077,20.071774,19584900
2006-02-16,32.153847,32.211540,31.788462,32.067307,20.005783,24847000
2006-02-17,32.067307,32.317307,32.009617,32.317307,20.161751,26362900
2006-02-21,32.317307,32.451923,31.942308,32.076923,20.011791,20700900
2006-02-22,32.259617,32.451923,32.211540,32.346153,20.179750,26750700
2006-02-23,31.971153,32.173077,31.932692,31.980770,20.101187,23034200
2006-02-24,31.971153,32.028847,31.750000,31.865385,20.028660,19005100
2006-02-27,31.942308,32.067307,31.836538,32.038460,20.137445,20100900
2006-02-28,31.923077,32.019230,31.586538,31.605770,19.865480,28807800
2006-03-01,31.701923,31.759615,31.442308,31.500000,19.799007,25472600
2006-03-02,31.442308,31.644230,31.326923,31.586538,19.853395,26143100
2006-03-03,31.490385,32.057693,31.471153,31.788462,19.980310,26585000
2006-03-06,31.788462,31.971153,31.682692,31.826923,20.004488,22267000
2006-03-07,31.769230,31.961538,31.740385,31.875000,20.034710,22618700
2006-03-08,31.788462,32.240383,31.740385,32.144230,20.203924,26084300
2006-03-09,32.096153,32.250000,31.884615,31.923077,20.064919,25179900
2006-03-10,32.000000,32.384617,31.980770,32.355770,20.336889,26800000
2006-03-13,32.365383,32.432693,32.144230,32.375000,20.348976,20299900
2006-03-14,32.211540,32.548077,32.192307,32.480770,20.415459,20424500
2006-03-15,32.480770,33.192307,32.480770,33.096153,20.802246,38040000
2006-03-16,33.317307,33.365383,33.019230,33.057693,20.778074,32610200
2006-03-17,33.144230,33.423077,33.076923,33.182693,20.856638,42219600
2006-03-20,33.211540,33.365383,33.076923,33.173077,20.850597,16770800
2006-03-21,33.182693,33.355770,32.961540,33.019230,20.753902,20840200
2006-03-22,33.057693,33.240383,33.019230,33.201923,20.868723,16799100
2006-03-23,33.125000,33.144230,32.701923,32.807693,20.620935,21405800
2006-03-24,32.721153,32.817307,32.586540,32.644230,20.518198,15027000
2006-03-27,32.567307,32.634617,32.394230,32.490383,20.421492,15721400
2006-03-28,32.413460,32.548077,32.201923,32.307693,20.306665,23824000
2006-03-29,32.259617,32.730770,32.259617,32.625000,20.506107,26038400
2006-03-30,32.759617,33.413460,32.740383,33.317307,20.941250,45405500
2006-03-31,33.403847,33.653847,33.384617,33.442307,21.019819,38882000
2006-04-03,33.451923,33.644230,33.259617,33.355770,20.965435,23238900
2006-04-04,33.528847,33.528847,33.000000,33.365383,20.971474,22428600
2006-04-05,33.317307,33.403847,33.067307,33.096153,20.802246,20324700
2006-04-06,32.980770,33.221153,32.807693,33.182693,20.856638,21028800
2006-04-07,33.221153,33.413460,32.701923,32.721153,20.566545,24637400
2006-04-10,32.750000,32.769230,32.500000,32.615383,20.500065,23872600
2006-04-11,32.615383,32.759617,32.336540,32.740383,20.578634,23884300
2006-04-12,32.980770,33.201923,32.855770,33.134617,20.826422,27197400
2006-04-13,32.875000,33.038460,32.317307,32.586540,20.481937,39174400
